"EDU.FIN.TOTAL.GDP_TOTAL STAT_UNIT[EDU_EXP], UNIT_MEASURE[GDP]EDU_LEVEL[L2], EDU_CAT[_T], SECTOR_EDU[_T], EXPENDITURE_TYPE[_T], SOURCE_FUND[GOV], FUND_FLOW[_T], TEACH_EXPERIENCE[_Z], CONTRACT_TYPE[_Z], ",1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,0.78686,0.96725,0.98348,1.06047,0.62133,0.78944,0.78828,0.97472,1.00278,1.06412,1.16627,1.36531,1.21182,1.29992,1.302,1.35121,1.31742,1.4312,
Côte d'Ivoire,,,,,,,,,0.5232,0.56712,0.62855,0.72085,0.71078,0.61893,0.73262,0.7967,0.91874,0.9164,
Afghanistan,,,,,,,,,,,,,0.58635,0.58075,0.40675,0.56786,0.60861,0.50102,0.6127
Burkina Faso,,,,,,,,,,0.47758,,,0.4647,0.69162,0.59608,0.54287,0.62582,0.74544,
